ocid,date,character_name,world_name,character_gender,character_class,character_class_level,character_level,character_exp,character_exp_rate,character_guild_name,character_date_create,access_flag,liberation_quest_clear,전투력,보스_데미지,방어율_무시,크리티컬_데미지,아케인포스,어센틱포스,스타포스
04aed5a9a8fdf260a4573f9252b7a413,2025-07-03,,,,,,,,,,,,,,,,,,,
af3e808c2a2c0a8d64d084b8a5b87741,2025-07-03,렌일지,챌린저스,여,렌,6,262,1388723881813,78.604,,2025-06-19T00:00+09:00,TRUE,0,8816936,171,90.93,54,1130,80,207
74ccc6aa815d399fc3c8865b1fb9f3fb,2025-07-03,LENEKJIN,챌린저스,여,렌,6,262,1495771050327,84.663,llli,2025-06-20T00:00+09:00,TRUE,0,5997473,191,93.84,58,980,50,199
3cb696b8547e14e5f98f0c4af616a2dd,2025-07-03,아롱잘못임,챌린저스,여,아크,6,262,357637484593,20.243,,2025-06-19T00:00+09:00,TRUE,0,10625858,268,90.5,73,950,50,217
3397ffbc05281239930a3854e3600bb5,2025-07-03,당바나바,챌린저스,여,렌,6,266,129371105230,5.467,없음,2025-06-22T00:00+09:00,TRUE,0,16128731,230,89.46,59,1050,120,222
2b230da426873fa580f073f08dd3bdca,2025-07-03,다윰점넷,챌린저스,여,렌,6,264,367425210214,20.387,카톡,2025-06-19T00:00+09:00,TRUE,0,12893036,257,93.15,61,930,50,232
46a387f703138df9dd7d23223897dc71,2025-07-03,심곈,챌린저스,여,렌,6,262,609870534985,34.52,,2025-06-19T00:00+09:00,TRUE,0,11611567,251,91.82,52.7,950,50,199
a3865204d060207350e7f33b0b3861e3,2025-07-03,당근생크림,챌린저스,여,렌,6,262,2448719217,0.139,행운,2025-06-19T00:00+09:00,TRUE,0,12571356,221,92.12,59,1080,80,217
c12fd019970fbdbcae47c6a016837427,2025-07-03,갱먀에옹,챌린저스,여,렌,6,262,1489867653337,84.329,,2025-06-20T00:00+09:00,TRUE,0,5962927,182,90.51,51,940,50,193
a32336b8ad4bab63900bc90a554a588d,2025-07-03,래빛v,챌린저스,여,렌,6,262,1495275503147,84.635,커피,2025-06-19T00:00+09:00,TRUE,0,8768245,180,93.42,58,1040,50,232
287fb54f3a26e39f982ec72b2f3dbe07,2025-07-03,도란모음,챌린저스,남,에반,6,262,1547796148432,87.608,,2025-06-21T00:00+09:00,TRUE,0,6807908,175,82.01,80,990,50,249
2b28e01745cbbda53c9917931a484f1d,2025-07-03,반열신,챌린저스,여,렌,6,262,1023226039664,57.916,블루아카이브,2025-06-19T00:00+09:00,TRUE,0,7616141,150,85.01,40,1050,50,232
c19e1eed261cea4737048a0562bc324a,2025-07-03,두기13,챌린저스,여,렌,6,264,986351646014,54.729,소원,2025-06-20T00:00+09:00,TRUE,0,13445520,239,91.28,59,970,50,247
34c08939d29b9df9c292b3d5172add44,2025-07-03,아마노츠루기,챌린저스,여,렌,6,264,159846680390,8.869,,2025-06-19T00:00+09:00,TRUE,0,9709910,170,88.14,49,990,50,267
2b44d973366c6e308c6f4ca8456d45d4,2025-07-03,렌통렬,챌린저스,여,렌,6,262,824465556524,46.666,쌀숭이,2025-06-27T00:00+09:00,TRUE,0,8890491,160,88.58,60,970,50,232
e950a568f50dd3784bb65362bead6ae7,2025-07-03,트렐렐렐로,챌린저스,여,렌,5,260,971302282661,56.082,,2025-06-19T00:00+09:00,TRUE,0,11581445,244,90.41,51,940,50,217
affba1ffd4cd3158b8e49760e5ac4c54,2025-07-03,빠져나랄,챌린저스,여,렌,6,262,1155342958892,65.394,Stay,2025-06-21T00:00+09:00,TRUE,0,9690232,228,87.42,41,1010,50,224
dbb04e5e11079ef139a3e00aea791ff8,2025-07-03,히컵리움,챌린저스,여,일리움,6,262,324987430406,18.395,참치,2025-06-19T00:00+09:00,FALSE,0,6698906,195,85.45,60,1020,80,232
4c9c65041b3fe8c5def01b9ce8cb2911,2025-07-03,정이슬,챌린저스,남,렌,6,264,146123996074,8.108,댕댕,2025-06-19T00:00+09:00,TRUE,0,12246573,240,92.59,59,1060,50,217
559a545917a8771a3d93191e5139e0de,2025-07-03,seyoung000,챌린저스,여,렌,6,260,1569983684616,90.65,,2025-06-19T00:00+09:00,TRUE,0,11532833,230,91.85,51,860,50,207
31f2425012e42e70b8d9724a267b7cae,2025-07-03,코리무코,챌린저스,여,렌,6,260,552449581868,31.898,토끼부대,2025-06-20T00:00+09:00,TRUE,0,7900548,210,91.01,59,790,0,209
6f98f4e169d9f66cead8956419eab1c7,2025-07-03,연약한만두,챌린저스,여,렌,6,264,1329241576891,73.755,,2025-06-19T00:00+09:00,TRUE,0,10864068,199,91.92,58,1080,50,217
b8d7a7ec5838b88187d3d98521fec9614723574b05820acf03e7ec3162ff5bed,2025-07-03,,,,,,,,,,,,,,,,,,,
9586bc2094f2c4a7c11b8d9252feaf67,2025-07-03,꾸덕한렌,챌린저스,여,렌,6,264,1401522882805,77.765,,2025-06-19T00:00+09:00,TRUE,0,11678649,242,93.37,50,1000,60,209
68fdd3ccb4032c5854946e6686f0db30,2025-07-03,루폐렌,챌린저스,여,렌,6,264,607951169717,33.733,,2025-06-19T00:00+09:00,TRUE,0,4165752,184,78.8,60,830,80,133
8f627e7584cafbcfcaf10963865a5d67,2025-07-03,설매화랜얼굴,챌린저스,남,렌,6,262,191041389525,10.813,,2025-06-19T00:00+09:00,TRUE,0,10677313,252,89.87,50,960,50,209
fd1bb142f4fa41449b4354980310218a,2025-07-03,MonsterInc,챌린저스,여,렌,6,262,1189950275580,67.353,망령,2025-06-20T00:00+09:00,TRUE,0,17583599,301,91.29,50,1070,50,242
e8ead652b5b2242de1aa8570bb875a5c,2025-07-03,,,,,,,,,,,,,,,,,,,
93fb51d7d82dd7ebb568e9fa065a9aef,2025-07-03,청목렌,챌린저스,남,렌,6,262,581640791981,32.922,고대,2025-06-22T00:00+09:00,TRUE,0,10744059,212,90.6,50,1040,50,216
6aee81c3cdd9189c23286237d44a7582,2025-07-03,오영또염,챌린저스,여,렌,6,262,1442353460413,81.64,별밤,2025-06-19T00:00+09:00,TRUE,0,11759923,265,92.77,80,1030,50,232
b1da163004d2ef6dc5f8e57b57819d08,2025-07-03,플레타짐,챌린저스,여,렌,6,264,653740752576,36.274,,2025-06-19T00:00+09:00,TRUE,0,14842885,255,89.88,59,870,50,277
