ocid,유료아이템착용 개수,총 코디금액(원),착용코디금액(원),스페셜라벨 개수,레드라벨 개수,마스터라벨 개수,일루전 링 개수,"비싼 헤어(부티크, 마스터라벨) 유무",헤어 믹스염색 여부,헤어 믹스염색 비율,성형 믹스염색 여부,성형 믹스염색 비율,착용 아이템 리스트,"착용 헤어,성형,피부",세분화 유저 그룹
04aed5a9a8fdf260a4573f9252b7a413,0,0,0,0,0,0,0,0,0,0,0,0,"하이퍼 버닝 크라운, 투명 얼굴장식, 투명 안경, 투명 귀고리, 하이퍼 버닝 로브, 난생 첫걸음, 투명 장갑, 버닝 플레임 윙즈, 하이퍼 버닝 소드, 유랑자의 말풍선 반지, 유랑자의 명찰 반지","빨간색 설화 헤어, 동그래 얼굴, 뽀송 꽃잎 피부",3. 순수 무료 유저 (지출 0원)
af3e808c2a2c0a8d64d084b8a5b87741,0,0,0,0,0,0,0,0,0,0,0,0,"하이퍼 버닝 크라운, 투명 얼굴장식, 투명 안경, 투명 귀고리, 하이퍼 버닝 로브, 매화나무 나막신, 투명 장갑, 푸른 하늘 은하수, 하이퍼 버닝 소드, 유랑자의 말풍선 반지, 유랑자의 명찰 반지","빨간색 룰루 헤어, 동그래 얼굴, 홍조 꽃잎 피부",3. 순수 무료 유저 (지출 0원)
74ccc6aa815d399fc3c8865b1fb9f3fb,0,0,0,0,0,0,0,0,0,0,0,0,"슬라임 모자, 인형핑크, 투명 안경, 투명 귀고리, 연두색 우비, 슬라임 슬리퍼, 투명 장갑, 투명 망토, 냉동 상어, 유랑자의 말풍선 반지, 유랑자의 명찰 반지","검은색 리르하 헤어, 냉소적인 아잉 얼굴, 뽀송 꽃잎 피부",3. 순수 무료 유저 (지출 0원)
3cb696b8547e14e5f98f0c4af616a2dd,1,38980,2980,0,0,0,0,0,1,50,1,50,"하이퍼 버닝 크라운, 인형핑크, 투명 안경, 투명 귀고리, 하이퍼 버닝 로브, 카링 비단신, 투명 장갑, 투명 망토, 하이퍼 버닝 소드","초록색 포니 엘피네 헤어, 디어 얼굴, 뽀송 꽃잎 피부",1. 유료 유저 (아이템 구매 지출)
3397ffbc05281239930a3854e3600bb5,0,72000,0,0,0,0,0,0,1,78,1,91,"은하매화, 인형핑크, 투명 안경, 투명 귀고리, 검정콩 멍뭉이 한벌옷, 매화나무 나막신, 투명 장갑, 투명 망토, 그래피티 페인터, 유랑자의 말풍선 반지, 유랑자의 명찰 반지, 혈맹의 반지, 경험치 부스트 링(15%)","빨간색 퐁당 헤어, 조용한 눈 얼굴, 엘프 피부",2. 무료/이벤트 유저 (뷰티 컨텐츠 지출)
2b230da426873fa580f073f08dd3bdca,0,0,0,0,0,0,0,0,0,0,0,0,"하이퍼 버닝 크라운, 투명 얼굴장식, 투명 안경, 투명 귀고리, 하이퍼 버닝 로브, 매화나무 나막신, 투명 장갑, 푸른 하늘 은하수, 하이퍼 버닝 소드","검은색 설화 헤어, 설매화 렌 얼굴, 홍조 꽃잎 피부",3. 순수 무료 유저 (지출 0원)
46a387f703138df9dd7d23223897dc71,3,5940,5940,0,0,0,0,0,0,0,0,0,"가려진 빛, 인형핑크, 투명 안경, 투명 귀고리, 화중신선, 선녀의 자존심, 투명 장갑, 도원향, 천년의 약속, 유랑자의 명찰 반지, 유랑자의 말풍선 반지","검은색 솜솜이 헤어, 차분한 루시드 얼굴, 뽀송 꽃잎 피부",1. 유료 유저 (아이템 구매 지출)
a3865204d060207350e7f33b0b3861e3,0,0,0,0,0,0,0,0,0,0,0,0,"하이퍼 버닝 크라운, 투명 얼굴장식, 투명 안경, 투명 귀고리, 하이퍼 버닝 로브, 난생 첫걸음, 투명 장갑, 버닝 플레임 윙즈, 하이퍼 버닝 소드","검은색 핑키웨이 헤어, 배불러 얼굴, 뽀송 꽃잎 피부",3. 순수 무료 유저 (지출 0원)
c12fd019970fbdbcae47c6a016837427,0,0,0,0,0,0,0,0,0,0,0,0,"하이퍼 버닝 크라운, 투명 얼굴장식, 투명 안경, 투명 귀고리, 하이퍼 버닝 로브, 난생 첫걸음, 투명 장갑, 푸른 하늘 은하수, 하이퍼 버닝 소드, 유랑자의 말풍선 반지, 유랑자의 명찰 반지","파란색 설화 헤어, 설매화 렌 얼굴, 엘프 피부",3. 순수 무료 유저 (지출 0원)
a32336b8ad4bab63900bc90a554a588d,1,78900,6900,0,0,0,1,0,1,10,1,71,"절망 레이스, 발그레 발그레, 투명 안경, 투명 귀고리, 순수한 절망, 투명 신발, 난생 처음 장갑, 투명 망토, 하이퍼 버닝 소드, 컬러링 데코 명찰 반지, 유랑자의 말풍선 반지, 일루전 링 : 레이스캡 검은색고양이","검은색 원더 바니, 조용한 눈 얼굴, 뽀송 라벤더 피부",1. 유료 유저 (아이템 구매 지출)
